Episode,Seed,Score,Algorithm
418,Seed_0,0.0,DQN
419,Seed_0,0.0,DQN
420,Seed_0,0.0,DQN
421,Seed_0,0.0,DQN
422,Seed_0,0.0,DQN
423,Seed_0,3.379999999999999,DQN
424,Seed_0,1.5199999999999996,DQN
425,Seed_0,1.5199999999999996,DQN
426,Seed_0,0.0,DQN
427,Seed_0,0.0,DQN
428,Seed_0,4.390000000000001,DQN
429,Seed_0,6.899999999999996,DQN
430,Seed_0,0.0,DQN
431,Seed_0,4.55,DQN
432,Seed_0,1.5599999999999996,DQN
433,Seed_0,6.589999999999996,DQN
434,Seed_0,0.0,DQN
435,Seed_0,4.840000000000001,DQN
436,Seed_0,6.629999999999996,DQN
437,Seed_0,4.220000000000001,DQN
438,Seed_0,10.749999999999996,DQN
439,Seed_0,10.749999999999996,DQN
440,Seed_0,3.2399999999999993,DQN
441,Seed_0,11.55,DQN
442,Seed_0,10.749999999999996,DQN
443,Seed_0,0.0,DQN
444,Seed_0,0.0,DQN
445,Seed_0,0.0,DQN
446,Seed_0,0.8200000000000001,DQN
447,Seed_0,0.0,DQN
448,Seed_0,0.0,DQN
449,Seed_0,0.0,DQN
450,Seed_0,1.67,DQN
451,Seed_0,11.229999999999993,DQN
452,Seed_0,10.429999999999996,DQN
453,Seed_0,0.43000000000000005,DQN
454,Seed_0,10.749999999999996,DQN
455,Seed_0,6.909999999999996,DQN
456,Seed_0,10.749999999999996,DQN
457,Seed_0,0.0,DQN
458,Seed_0,2.01,DQN
459,Seed_0,10.749999999999996,DQN
460,Seed_0,0.44999999999999996,DQN
461,Seed_0,11.069999999999997,DQN
462,Seed_0,1.3699999999999997,DQN
463,Seed_0,0.0,DQN
464,Seed_0,0.0,DQN
465,Seed_0,0.0,DQN
466,Seed_0,1.29,DQN
467,Seed_0,1.24,DQN
468,Seed_0,0.0,DQN
469,Seed_0,6.269999999999996,DQN
470,Seed_0,30.269999999999996,DQN
471,Seed_0,1.0,DQN
472,Seed_0,10.749999999999996,DQN
473,Seed_0,7.069999999999996,DQN
474,Seed_0,0.0,DQN
475,Seed_0,0.0,DQN
476,Seed_0,10.749999999999996,DQN
477,Seed_0,0.0,DQN
478,Seed_0,4.0699999999999985,DQN
479,Seed_0,0.0,DQN
480,Seed_0,11.229999999999997,DQN
481,Seed_0,0.0,DQN
482,Seed_0,0.61,DQN
483,Seed_0,11.069999999999997,DQN
484,Seed_0,0.0,DQN
485,Seed_0,2.32,DQN
486,Seed_0,0.0,DQN
487,Seed_0,1.29,DQN
488,Seed_0,0.0,DQN
489,Seed_0,2.0899999999999994,DQN
490,Seed_0,0.0,DQN
491,Seed_0,0.0,DQN
492,Seed_0,0.0,DQN
493,Seed_0,1.6099999999999994,DQN
494,Seed_0,0.61,DQN
495,Seed_0,1.4499999999999997,DQN
496,Seed_0,0.0,DQN
497,Seed_0,0.0,DQN
498,Seed_0,1.6099999999999999,DQN
499,Seed_0,0.0,DQN
500,Seed_0,2.7099999999999986,DQN
501,Seed_0,0.0,DQN
502,Seed_0,3.909999999999999,DQN
503,Seed_0,0.0,DQN
504,Seed_0,4.0699999999999985,DQN
505,Seed_0,0.0,DQN
506,Seed_0,4.0699999999999985,DQN
507,Seed_0,0.0,DQN
508,Seed_0,0.0,DQN
509,Seed_0,1.7699999999999996,DQN
510,Seed_0,4.0699999999999985,DQN
511,Seed_0,6.249999999999996,DQN
512,Seed_0,0.0,DQN
513,Seed_0,0.0,DQN
514,Seed_0,1.5999999999999999,DQN
515,Seed_0,2.5599999999999996,DQN
516,Seed_0,3.0499999999999994,DQN
517,Seed_0,1.5999999999999999,DQN
518,Seed_0,0.0,DQN
519,Seed_0,0.9299999999999999,DQN
520,Seed_0,2.4099999999999997,DQN
521,Seed_0,3.9799999999999986,DQN
522,Seed_0,4.709999999999999,DQN
523,Seed_0,0.0,DQN
524,Seed_0,0.0,DQN
525,Seed_0,0.0,DQN
526,Seed_0,5.030000000000001,DQN
527,Seed_0,4.369999999999998,DQN
528,Seed_0,0.0,DQN
529,Seed_0,0.0,DQN
530,Seed_0,0.0,DQN
531,Seed_0,0.0,DQN
532,Seed_0,5.019999999999999,DQN
533,Seed_0,2.08,DQN
534,Seed_0,0.0,DQN
535,Seed_0,0.0,DQN
536,Seed_0,2.8299999999999996,DQN
537,Seed_0,5.190000000000001,DQN
538,Seed_0,2.379999999999999,DQN
539,Seed_0,4.219999999999998,DQN
540,Seed_0,6.529999999999996,DQN
541,Seed_0,0.0,DQN
542,Seed_0,0.0,DQN
543,Seed_0,0.0,DQN
544,Seed_0,4.389999999999999,DQN
545,Seed_0,0.0,DQN
546,Seed_0,0.0,DQN
547,Seed_0,1.4499999999999997,DQN
548,Seed_0,0.0,DQN
549,Seed_0,0.0,DQN
550,Seed_0,0.0,DQN
551,Seed_0,1.5699999999999998,DQN
552,Seed_0,1.4499999999999997,DQN
553,Seed_0,0.0,DQN
554,Seed_0,1.5999999999999999,DQN
555,Seed_0,2.32,DQN
556,Seed_0,0.0,DQN
557,Seed_0,0.0,DQN
558,Seed_0,0.0,DQN
559,Seed_0,3.01,DQN
560,Seed_0,6.269999999999996,DQN
561,Seed_0,4.469999999999997,DQN
562,Seed_0,6.269999999999996,DQN
563,Seed_0,6.579999999999996,DQN
564,Seed_0,1.7299999999999995,DQN
565,Seed_0,0.0,DQN
566,Seed_0,6.909999999999996,DQN
567,Seed_0,0.0,DQN
568,Seed_0,3.9799999999999986,DQN
569,Seed_0,6.409999999999996,DQN
570,Seed_0,6.249999999999996,DQN
571,Seed_0,0.0,DQN
572,Seed_0,6.269999999999996,DQN
